食材番号,食材名,エネルギー,タンパク質,脂質,炭水化物,食塩相当量
01116,こめ　［うるち米製品］　米こうじ,260.0,5.8,1.7,59.2,0
01117,こめ　［もち米製品］　もち,223.0,4.0,0.6,50.8,0
01118,こめ　［もち米製品］　赤飯,186.0,4.3,0.6,41.9,0
01119,こめ　［もち米製品］　あくまき,131.0,2.3,1.8,25.7,0
01120,こめ　［もち米製品］　白玉粉,347.0,6.3,1.0,80.0,0
01121,こめ　［もち米製品］　道明寺粉,349.0,7.1,0.7,80.4,0
01161,こめ　［その他］　米ぬか,374.0,13.4,19.6,48.8,0
01122,そば　そば粉　全層粉,339.0,12.0,3.1,69.6,0
01123,そば　そば粉　内層粉,342.0,6.0,1.6,77.6,0
01124,そば　そば粉　中層粉,334.0,10.2,2.7,71.6,0
01125,そば　そば粉　表層粉,337.0,15.0,3.6,65.1,0
01126,そば　そば米,347.0,9.6,2.5,73.7,0
01127,そば　そば　生,271.0,9.8,1.9,54.5,0
01128,そば　そば　ゆで,130.0,4.8,1.0,26.0,0
01197,そば　そば　半生そば,325.0,10.5,3.8,61.8,0
01129,そば　干しそば　乾,344.0,14.0,2.3,66.7,2.2
01130,そば　干しそば　ゆで,113.0,4.8,0.7,22.1,0.1
01131,とうもろこし　玄穀　黄色種,341.0,8.6,5.0,70.6,0
01162,とうもろこし　玄穀　白色種,341.0,8.6,5.0,70.6,0
01132,とうもろこし　コーンミール　黄色種,375.0,8.3,4.0,72.4,0
01163,とうもろこし　コーンミール　白色種,375.0,8.3,4.0,72.4,0
01133,とうもろこし　コーングリッツ　黄色種,352.0,8.2,1.0,76.4,0
01164,とうもろこし　コーングリッツ　白色種,352.0,8.2,1.0,76.4,0
01134,とうもろこし　コーンフラワー　黄色種,347.0,6.6,2.8,76.1,0
01165,とうもろこし　コーンフラワー　白色種,347.0,6.6,2.8,76.1,0
01135,とうもろこし　ジャイアントコーン　フライ　味付け,409.0,5.7,11.8,76.6,1.1
01136,とうもろこし　ポップコーン,472.0,10.2,22.8,59.6,1.4
01137,とうもろこし　コーンフレーク,380.0,7.8,1.7,83.6,2.1
01138,はとむぎ　精白粒,353.0,13.3,1.3,72.2,0
01139,ひえ　精白粒,361.0,9.4,3.3,73.2,0
01140,もろこし　玄穀,344.0,10.3,4.7,71.1,0
01141,もろこし　精白粒,348.0,9.5,2.6,74.1,0
01142,ライむぎ　全粒粉,317.0,12.7,2.7,70.7,0
01143,ライむぎ　ライ麦粉,324.0,8.5,1.6,75.8,0
02068,＜いも類＞　アメリカほどいも　塊根　生,146.0,5.9,0.6,35.6,0
